"credit_risk","age","amount","credit_history","duration","employment_duration","foreign_worker","housing","installment_rate","job","number_credits","other_debtors","other_installment_plans","people_liable","personal_status_sex","present_residence","property","purpose","savings","status","telephone"
"297","good",20,4675,"no credits taken/all credits paid back duly",12,NA,"no","for free",">= 35","skilled employee/official","1","none","none","0 to 2","female : non-single or male : single",">= 7 yrs","building soc. savings agr. / life insurance","car (new)","... >= 1000 DM","... >= 200 DM / salary for at least 1 year","no"
"298","good",45,1287,"no credits taken/all credits paid back duly",10,">= 7 yrs","yes","rent","< 20","unskilled - resident","1","co-applicant","none","0 to 2","male : married/widowed","1 <= ... < 4 yrs","car or other","others","... >= 1000 DM","... >= 200 DM / salary for at least 1 year","no"
"299","good",43,2515,"no credits taken/all credits paid back duly",18,"1 <= ... < 4 yrs","no","rent","20 <= ... < 25","skilled employee/official",NA,"none","none","0 to 2","male : married/widowed",">= 7 yrs","unknown / no property","car (used)","unknown/no savings account","... >= 200 DM / salary for at least 1 year","yes (under customer name)"
"300","good",NA,2745,"all credits at this bank paid back duly",21,"4 <= ... < 7 yrs","no","rent","20 <= ... < 25","skilled employee/official","2-3","none","none","0 to 2","male : married/widowed","1 <= ... < 4 yrs","building soc. savings agr. / life insurance","car (used)","500 <= ... < 1000 DM","... < 0 DM","yes (under customer name)"
"301","good",54,672,"no credits taken/all credits paid back duly",6,"unemployed","no","rent",">= 35","unemployed/unskilled - non-resident","1","none","none","0 to 2","female : non-single or male : single",">= 7 yrs","unknown / no property","others","unknown/no savings account","... >= 200 DM / salary for at least 1 year","yes (under customer name)"
"302","bad",NA,3804,"delay in paying off in the past",36,"1 <= ... < 4 yrs","no","rent","< 20","skilled employee/official","1","none","none","0 to 2","female : non-single or male : single","< 1 yr","building soc. savings agr. / life insurance","furniture/equipment","unknown/no savings account","... < 0 DM","yes (under customer name)"
"303","bad",37,1344,"all credits at this bank paid back duly",24,"4 <= ... < 7 yrs","no","rent","< 20","unskilled - resident","2-3","none","bank","3 or more","male : married/widowed","1 <= ... < 4 yrs","unknown / no property","others","... >= 1000 DM","0<= ... < 200 DM","no"
"304","good",49,1038,"all credits at this bank paid back duly",10,NA,"no","rent","< 20","skilled employee/official","2-3","co-applicant","none","0 to 2","male : married/widowed","4 <= ... < 7 yrs","car or other","others","unknown/no savings account","no checking account","yes (under customer name)"
"305","bad",44,10127,"all credits at this bank paid back duly",48,"1 <= ... < 4 yrs","no","own","25 <= ... < 35","skilled employee/official","1","none","bank","0 to 2","male : married/widowed","1 <= ... < 4 yrs","real estate","others","100 <= ... < 500 DM","... >= 200 DM / salary for at least 1 year","no"
"306","good",33,1543,"no credits taken/all credits paid back duly",6,"1 <= ... < 4 yrs","no","rent","< 20","skilled employee/official","1","none","none","0 to 2","male : divorced/separated","1 <= ... < 4 yrs","unknown / no property","car (used)","500 <= ... < 1000 DM","... >= 200 DM / salary for at least 1 year","no"
"307","good",24,4811,"no credits taken/all credits paid back duly",30,"4 <= ... < 7 yrs","no","for free","25 <= ... < 35","unskilled - resident","1","none","stores","0 to 2","female : non-single or male : single",">= 7 yrs","car or other","car (new)","... >= 1000 DM","... >= 200 DM / salary for at least 1 year","no"
"308","bad",33,727,"no credits taken/all credits paid back duly",12,"< 1 yr","no","rent","< 20","unskilled - resident","1","none","none","0 to 2","female : single","4 <= ... < 7 yrs","real estate","furniture/equipment","... < 100 DM","no checking account","yes (under customer name)"
"309","bad",24,1237,"no credits taken/all credits paid back duly",8,"1 <= ... < 4 yrs","no","rent","20 <= ... < 25","skilled employee/official","1","none","none","0 to 2","female : non-single or male : single",">= 7 yrs","unknown / no property","car (used)","unknown/no savings account","... < 0 DM","no"
"310","good",22,276,"no credits taken/all credits paid back duly",9,"1 <= ... < 4 yrs","no","for free","< 20","unskilled - resident","1","none","none","0 to 2","female : single",">= 7 yrs","unknown / no property","others","unknown/no savings account","... < 0 DM","no"
"311","good",NA,5381,"no credits taken/all credits paid back duly",48,"unemployed","no","own","20 <= ... < 25","unemployed/unskilled - non-resident","1","none","bank","0 to 2","male : married/widowed",">= 7 yrs","real estate","business","... >= 1000 DM","... < 0 DM","yes (under customer name)"
"312","good",25,5511,"no credits taken/all credits paid back duly",24,"1 <= ... < 4 yrs","no","rent","< 20","skilled employee/official","1","none","stores","0 to 2","male : married/widowed","< 1 yr","building soc. savings agr. / life insurance","car (used)","... < 100 DM","... >= 200 DM / salary for at least 1 year","no"
"313","good",26,3749,"no credits taken/all credits paid back duly",24,"< 1 yr","no","rent","25 <= ... < 35","skilled employee/official","1","none","none","0 to 2","female : non-single or male : single",">= 7 yrs","building soc. savings agr. / life insurance","car (used)","unknown/no savings account","0<= ... < 200 DM","no"
"314","bad",25,685,"no credits taken/all credits paid back duly",12,"4 <= ... < 7 yrs","no","rent","25 <= ... < 35","unskilled - resident","1","none","bank","0 to 2","female : single","4 <= ... < 7 yrs","building soc. savings agr. / life insurance","others","unknown/no savings account","... < 0 DM","no"
"315","good",29,1494,"no credits taken/all credits paid back duly",4,"< 1 yr","yes","rent",">= 35","unskilled - resident","1","none","none","3 or more","male : married/widowed","1 <= ... < 4 yrs","unknown / no property","others","... >= 1000 DM","0<= ... < 200 DM","no"
"316","bad",31,2746,"critical account/other credits elsewhere",36,">= 7 yrs","no","rent","< 20","skilled employee/official","1","none","bank","0 to 2","male : married/widowed",">= 7 yrs","building soc. savings agr. / life insurance","car (used)","unknown/no savings account","no checking account","no"
"317","good",38,708,"no credits taken/all credits paid back duly",12,"1 <= ... < 4 yrs","no","rent","25 <= ... < 35","unskilled - resident","1","guarantor","none","3 or more","male : married/widowed","4 <= ... < 7 yrs","car or other","car (used)","unknown/no savings account","no checking account","no"
"318","good",48,4351,"no credits taken/all credits paid back duly",24,"1 <= ... < 4 yrs","no","rent",">= 35","unskilled - resident","1","none","none","0 to 2","female : non-single or male : single",">= 7 yrs","car or other","car (used)","... >= 1000 DM","... < 0 DM","yes (under customer name)"
"319","good",NA,701,"all credits at this bank paid back duly",12,"1 <= ... < 4 yrs","no","rent","< 20","skilled employee/official","2-3","none","none","0 to 2","male : married/widowed","1 <= ... < 4 yrs","building soc. savings agr. / life insurance","repairs","unknown/no savings account","... >= 200 DM / salary for at least 1 year","no"
"320","good",27,3643,"existing credits paid back duly till now",15,">= 7 yrs","no","rent",">= 35","unskilled - resident","2-3","none","none","0 to 2","female : non-single or male : single",">= 7 yrs","car or other","car (used)","unknown/no savings account","no checking account","no"
"321","bad",28,4249,"all credits at this bank paid back duly",30,"unemployed","no","rent","< 20","manager/self-empl/highly qualif. employee","2-3","none","none","0 to 2","female : single","1 <= ... < 4 yrs","building soc. savings agr. / life insurance","others","unknown/no savings account","... < 0 DM","no"
"322","bad",32,1938,"no credits taken/all credits paid back duly",24,"< 1 yr","no","rent","< 20","skilled employee/official","1","none","none","0 to 2","male : divorced/separated","4 <= ... < 7 yrs","car or other","furniture/equipment","unknown/no savings account","no checking account","no"
"323","good",34,2910,"no credits taken/all credits paid back duly",24,"4 <= ... < 7 yrs","no","own","25 <= ... < 35","manager/self-empl/highly qualif. employee","1","none","none","0 to 2","male : married/widowed","< 1 yr","real estate","car (new)","unknown/no savings account","no checking account","yes (under customer name)"
"324","good",28,2659,"no credits taken/all credits paid back duly",18,"1 <= ... < 4 yrs","no","rent","< 20","skilled employee/official","1","none","none","0 to 2","male : married/widowed","1 <= ... < 4 yrs","building soc. savings agr. / life insurance","car (used)","500 <= ... < 1000 DM","no checking account","no"
"325","good",36,1028,"all credits at this bank paid back duly",18,"1 <= ... < 4 yrs","no","rent","< 20","skilled employee/official","2-3","none","none","0 to 2","female : non-single or male : single","4 <= ... < 7 yrs","unknown / no property","others","unknown/no savings account","... >= 200 DM / salary for at least 1 year","no"
"326","good",39,3398,"all credits at this bank paid back duly",8,"4 <= ... < 7 yrs","yes","rent",">= 35","unskilled - resident","2-3","none","none","0 to 2","male : married/widowed",">= 7 yrs","unknown / no property","others","unknown/no savings account","no checking account","no"
"327","good",49,5801,"all credits at this bank paid back duly",12,NA,"no","for free","25 <= ... < 35","skilled employee/official","1","none","none","0 to 2","male : married/widowed",">= 7 yrs","car or other","car (used)","... >= 1000 DM","... >= 200 DM / salary for at least 1 year","yes (under customer name)"
"328","good",34,1525,"no credits taken/all credits paid back duly",24,"4 <= ... < 7 yrs","no","rent","< 20","skilled employee/official","1","none","none","3 or more","female : non-single or male : single","4 <= ... < 7 yrs","building soc. savings agr. / life insurance","others","500 <= ... < 1000 DM","... >= 200 DM / salary for at least 1 year","yes (under customer name)"
"329","good",0,4473,"no credits taken/all credits paid back duly",36,">= 7 yrs","no","rent","< 20","skilled employee/official","1","none","none","0 to 2","male : married/widowed","1 <= ... < 4 yrs","building soc. savings agr. / life insurance","furniture/equipment","unknown/no savings account","0<= ... < 200 DM","no"
"330","good",28,1068,"no credits taken/all credits paid back duly",6,">= 7 yrs","no","rent","< 20","skilled employee/official","1","none","none","3 or more","male : married/widowed",">= 7 yrs","building soc. savings agr. / life insurance","furniture/equipment","unknown/no savings account","... < 0 DM","no"
"331","good",75,6615,"all credits at this bank paid back duly",24,"unemployed","no","own","25 <= ... < 35","manager/self-empl/highly qualif. employee",NA,"none","none","0 to 2","male : married/widowed",">= 7 yrs","real estate","car (new)","unknown/no savings account","no checking account","yes (under customer name)"
"332","bad",30,1864,"all credits at this bank paid back duly",18,"1 <= ... < 4 yrs","no","rent","< 20","skilled employee/official","2-3","none","none","0 to 2","female : non-single or male : single","1 <= ... < 4 yrs","unknown / no property","repairs","... < 100 DM","... >= 200 DM / salary for at least 1 year","no"
"333","bad",24,7408,"no credits taken/all credits paid back duly",60,"< 1 yr","no","rent","< 20","manager/self-empl/highly qualif. employee","1","none","none","0 to 2","female : non-single or male : single","1 <= ... < 4 yrs","car or other","others","... < 100 DM","... < 0 DM","no"
"334","bad",24,11590,"all credits at this bank paid back duly",48,"1 <= ... < 4 yrs","no","for free","25 <= ... < 35","unskilled - resident","2-3","none","bank","0 to 2","female : non-single or male : single",">= 7 yrs","building soc. savings agr. / life insurance","car (new)","... < 100 DM","... >= 200 DM / salary for at least 1 year","no"
"335","bad",23,4110,"delay in paying off in the past",24,">= 7 yrs","no","for free","20 <= ... < 25","skilled employee/official","2-3","none","bank","3 or more","male : married/widowed",">= 7 yrs","real estate","car (used)","unknown/no savings account","no checking account","no"
